apt_name,report_id,created,last_update
apt32,4963,2019-03-20 15:36:37.279708+01,2019-03-20 15:36:37.279708+01
apt32,4964,2019-03-20 15:36:38.197289+01,2019-03-20 15:36:38.197289+01
apt32,4965,2019-03-20 15:36:42.493885+01,2019-03-20 15:36:42.493885+01
admin338,4966,2019-03-20 15:36:42.500703+01,2019-03-20 15:36:42.500703+01
admin338,4967,2019-03-20 15:36:50.050444+01,2019-03-20 15:36:50.050444+01
charmingkitten,4968,2019-03-20 15:36:50.062119+01,2019-03-20 15:36:50.062119+01
charmingkitten,4891,2019-03-20 15:37:00.31526+01,2019-03-20 15:37:00.31526+01
apt18,4970,2019-03-20 15:37:00.380192+01,2019-03-20 15:37:00.380192+01
threatgroup3390,4971,2019-03-20 15:37:11.230626+01,2019-03-20 15:37:11.230626+01
apt18,4971,2019-03-20 15:37:11.23173+01,2019-03-20 15:37:11.23173+01
apt18,4972,2019-03-20 15:37:12.77721+01,2019-03-20 15:37:12.77721+01
turla,4973,2019-03-20 15:37:12.786852+01,2019-03-20 15:37:12.786852+01
turla,4974,2019-03-20 15:37:20.9327+01,2019-03-20 15:37:20.9327+01
turla,4975,2019-03-20 15:37:22.932134+01,2019-03-20 15:37:22.932134+01
turla,4976,2019-03-20 15:37:24.281986+01,2019-03-20 15:37:24.281986+01
apt28,4976,2019-03-20 15:37:24.283145+01,2019-03-20 15:37:24.283145+01
turla,4977,2019-03-20 15:37:31.464122+01,2019-03-20 15:37:31.464122+01
apt28,4978,2019-03-20 15:37:32.704708+01,2019-03-20 15:37:32.704708+01
sandwormteam,4978,2019-03-20 15:37:32.705845+01,2019-03-20 15:37:32.705845+01
turla,4978,2019-03-20 15:37:32.706586+01,2019-03-20 15:37:32.706586+01
apt29,4978,2019-03-20 15:37:32.707359+01,2019-03-20 15:37:32.707359+01
turla,4979,2019-03-20 15:37:36.07731+01,2019-03-20 15:37:36.07731+01
gorgongroup,4980,2019-03-20 15:37:36.111585+01,2019-03-20 15:37:36.111585+01
gorgongroup,4981,2019-03-20 15:37:45.561739+01,2019-03-20 15:37:45.561739+01
apt16,4982,2019-03-20 15:37:45.577691+01,2019-03-20 15:37:45.577691+01
apt16,4983,2019-03-20 15:37:53.250536+01,2019-03-20 15:37:53.250536+01
admin338,4983,2019-03-20 15:37:53.251775+01,2019-03-20 15:37:53.251775+01
apt37,4984,2019-03-20 15:37:53.259646+01,2019-03-20 15:37:53.259646+01
apt37,4985,2019-03-20 15:38:00.529335+01,2019-03-20 15:38:00.529335+01
apt37,4986,2019-03-20 15:38:02.249359+01,2019-03-20 15:38:02.249359+01
apt37,4987,2019-03-20 15:38:03.44582+01,2019-03-20 15:38:03.44582+01
